,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Player,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
Kim Seung-gyu,GK,35,3,3,270,3.0,3,1.00,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,Matches,eabaafa6
Squad Total,,28.2,3,3,270,3.0,3,1.00,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,,-9999
Opponent Total,,27.3,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,,,-9999  
