,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Player,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
Raúl Rangel,GK,26,5,5,437,4.9,3,0.62,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0,Matches,15f733fb
Guillermo Ochoa,GK,40,1,0,13,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,1e9bde92
Squad Total,,27.6,5,5,450,5.0,3,0.60,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0,,-9999
Opponent Total,,27.3,5,5,450,5.0,10,2.00,21,11,52.4,1,0,4,0,0.0,1,1,0,0,0.0,,-9999
