,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Player,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
Matej Kovar,GK,26,3,3,270,3.0,6,2.00,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,Matches,bc67a0e1
Squad Total,,27.8,3,3,270,3.0,6,2.00,15,9,60.0,0,1,2,0,0.0,1,1,0,0,0.0,,-9999
Opponent Total,,27.2,3,3,270,3.0,2,0.67,8,6,75.0,2,1,0,1,33.3,0,0,0,0,,,-9999
